"Term","VIF","VIF_CI_low","VIF_CI_high","SE_factor","Tolerance","Tolerance_CI_low","Tolerance_CI_high"
"Gear",1.2816740906704,1.1190894605761,1.66622430709806,1.13211045868784,0.780229550772097,0.600159291723228,0.893583609915516
"logEffort",3.5912257545088,2.78971837268265,4.75168016002721,1.8950529687871,0.278456457031279,0.210451875194031,0.358459122538014
"Occlusion",6.46005150302602,4.89166241472594,8.6605211960031,2.54166313720485,0.15479752747042,0.115466491839026,0.204429479227672
"SecchiDepth",3.17639181206557,2.48614600995988,4.18722473288741,1.78224347721224,0.314822622386031,0.238821669194341,0.402228990571691
"DaylightPercent",3.75871606887646,2.91233847758525,4.97969001716012,1.93874084623924,0.266048294597287,0.200815712735929,0.343366682031117
"Steepness",8.26761562402281,6.21673570010305,11.124767650678,2.87534617464103,0.120953857251702,0.0898895178218895,0.160856122608433
"MudDominant",5.32364882714476,4.05876545085222,7.11159615892153,2.30730336695129,0.187841090287755,0.140615408644302,0.246380337102266
"Season",1.60642630340592,1.34432868152463,2.06802854712602,1.26744873797954,0.622499767265897,0.483552319134917,0.743865703189402
"Temperature",2.58633375029172,2.05488765788529,3.38551920529553,1.60820824220364,0.386647701553292,0.295375668947861,0.486644608605568
"Gear:logEffort",8.63022018325256,6.48257307250295,11.6191489424756,2.93772363970006,0.115871898835276,0.0860648232457324,0.154259734339392
"Gear:Occlusion",5.64408420675222,4.29359991601256,7.54831147357946,2.37572814243385,0.177176662035564,0.132479959723468,0.232904793078321
"Gear:SecchiDepth",4.46007909290616,3.42601418601686,5.93490409007983,2.11188993389953,0.224211270510991,0.168494719513917,0.291884372248504
"Gear:DaylightPercent",4.25522158328374,3.27594981867837,5.65584410926494,2.06281884402963,0.235005388186695,0.176808267816626,0.305254981104513
