"Term","VIF","VIF_CI_low","VIF_CI_high","SE_factor","Tolerance","Tolerance_CI_low","Tolerance_CI_high"
"Gear",1.17791106931933,1.05455699470836,1.58017031098487,1.08531611492658,0.848960525159053,0.632843177123565,0.948265484955183
"logEffort",3.12563233321956,2.44901685110611,4.11819204350823,1.76794579476282,0.319935262177798,0.242825004136552,0.408327120962171
"Occlusion",5.6141617115501,4.27167009845589,7.50752907830874,2.3694222315894,0.17812098250442,0.133199617286767,0.234100475212605
"SecchiDepth",5.35011142832774,4.07815809009105,7.14766002428024,2.31303078845219,0.186911994898874,0.139905926779261,0.245208738334534
"DaylightPercent",3.9795741572937,3.07406285627031,5.28042097758654,1.99488700364048,0.251283167614106,0.189378840104726,0.325302391901406
"Steepness",6.63988903460168,5.02348489416671,8.9056711182727,2.57679821379201,0.150604926496334,0.11228800016522,0.199064995927668
"MudDominant",4.27161081158021,3.28795472203665,5.67816832184542,2.06678755840561,0.234103724358275,0.176113130734912,0.304140441259049
"Season",1.55215254934431,1.30572827574376,1.99720065802139,1.24585414449056,0.644266570590911,0.500700816407047,0.765856126865588
"Temperature",2.55815895318723,2.03432153490024,3.34729650449723,1.59942456939589,0.39090612362226,0.298748556829806,0.491564378022002
"Gear:logEffort",6.34262854448409,4.80559218098641,8.5004568032662,2.5184575725003,0.15766333988921,0.117640736626738,0.20809089958914
"Gear:Occlusion",4.62455095016071,3.54650737871826,6.15897566215708,2.1504769122594,0.216237211088624,0.162364661731715,0.281967550949072
"Gear:SecchiDepth",7.13011145596479,5.382837144507,9.57395910994491,2.6702268547756,0.140250262029696,0.104449996967425,0.185775637113685
"Gear:DaylightPercent",4.29166124101993,3.30264158446581,5.70547991434216,2.07163250626648,0.23301000331572,0.175270093841931,0.302787927307512
