"cond((Int))","disp((Int))","cond(DaylightPercent)","cond(Gear)","cond(logEffort)","cond(MudDominant)","cond(Occlusion)","cond(Season)","cond(SecchiDepth)","cond(Steepness)","cond(Temperature)","cond(DaylightPercent:Gear)","cond(Gear:logEffort)","cond(Gear:Occlusion)","cond(Gear:SecchiDepth)","R2.LR","df","logLik","AICc","delta","weight"
1.15357674872845,"+",-0.160458416097109,"+",NA,NA,-0.136961627876207,NA,NA,"+",NA,NA,NA,NA,NA,0.277566755773023,10,-144.657177030223,312.328052690583,0,0.0211734767553115
1.14989669631265,"+",-0.156071821291839,"+",0.0742719762388084,NA,-0.130438831597079,NA,NA,"+",NA,NA,NA,NA,NA,0.296450132891038,11,-143.544754033093,312.756174732853,0.428122042269536,0.0170933291775478
1.16180056603411,"+",-0.162812266379114,"+",-0.0830725337170774,NA,-0.129300576397007,NA,NA,"+",NA,NA,"+",NA,NA,0.340929098391882,13,-140.801833155654,312.803666311308,0.475613620724801,0.0166922158099956
1.40161308515968,"+",-0.164463930195359,"+",NA,"+",NA,NA,NA,"+",NA,NA,NA,NA,NA,0.271001341037288,10,-145.037145665369,313.087989960875,0.759937270292198,0.0144801778133515
1.0184912390407,"+",-0.149792272316185,"+",0.0815113089847618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.223348062758177,8,-147.696602479543,313.313204959085,0.985152268502247,0.0129380575753013
1.01330773078757,"+",-0.155651518838406,"+",-0.0721295226013771,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,0.268167635710273,10,-145.200088224936,313.413875080009,1.08582238942586,0.0123029381427003
1.01677475382763,"+",-0.157151998484556,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.198709682892916,7,-149.0083058212,313.490295852927,1.1622431623436,0.0118417061642447
1.12819132569076,"+",-0.126780267986565,"+",-0.0909766963230358,NA,NA,"+",NA,NA,0.0986633171766262,NA,"+",NA,NA,0.312626006833935,12,-142.567824445628,313.53001508844,1.20196239785673,0.0116088542344987
1.01949898114817,"+",-0.148117819676936,"+",NA,NA,NA,NA,NA,NA,0.0827196792507803,NA,NA,NA,NA,0.220749360762246,8,-147.836901219286,313.593802438571,1.2657497479882,0.0112444472380665
1.14875213738019,"+",-0.105294013765299,"+",-0.0935292692763866,NA,-0.0984528836775483,"+",-0.130203502712529,NA,0.114334320945588,NA,"+",NA,NA,0.356556913490056,14,-139.793936520343,313.674829562424,1.34677687184114,0.0107979992899149
1.10789663246955,"+",-0.131725430010121,"+",NA,NA,NA,"+",NA,NA,0.106568062044831,NA,NA,NA,NA,0.242767540638238,9,-146.633078196006,313.698588824445,1.370536133862,0.0106704819717037
1.32681299479878,"+",-0.0942299373769146,"+",-0.111717366184612,"+",NA,"+",-0.172314104058692,NA,0.116121102403247,NA,"+",NA,NA,0.356168668034511,14,-139.819271148909,313.725498819556,1.39744612897323,0.0105278722212423
1.40510585224075,"+",-0.163167269294356,"+",-0.101112696332502,"+",NA,NA,NA,"+",NA,NA,"+",NA,NA,0.332224973293799,13,-141.352882061108,313.905764122215,1.57771143163222,0.00962047448416679
1.02119422224605,"+",-0.155595399452507,"+",NA,NA,-0.0724349322266607,NA,NA,NA,0.101239646303742,NA,NA,NA,NA,0.24063362504913,9,-146.751269654235,313.934971740902,1.60691905031928,0.00948099981853748
1.37336240308148,"+",-0.159409018595774,"+",0.0669395105962528,"+",NA,NA,NA,"+",NA,NA,NA,NA,NA,0.286292740903626,11,-144.146787016505,313.960240699677,1.63218800909391,0.00936196587118172
1.23509193011108,"+",-0.147791046169501,"+",-0.0991651256618624,NA,-0.125234599888252,"+",NA,"+",NA,NA,"+",NA,NA,0.354222357499311,14,-139.946046173218,313.979048868175,1.65099617759176,0.00927433783191976
1.02139951051345,"+",-0.142495493078452,"+",0.0739783824986759,NA,NA,NA,NA,NA,0.0720614729852373,NA,NA,NA,NA,0.240228771043737,9,-146.773655866761,313.979744165955,1.65169147537233,0.00927111417904652
1.09435968817495,"+",-0.139217390498127,"+",-0.0882797301217335,NA,NA,"+",NA,NA,NA,NA,"+",NA,NA,0.285808622380174,11,-144.175266599357,314.01719986538,1.68914717479726,0.00909910188373563
1.10860112780263,"+",-0.141121480544016,"+",NA,NA,-0.0708951741062955,"+",NA,NA,0.119500834166829,NA,NA,NA,NA,0.262767694772756,10,-145.50885412957,314.031406889278,1.70335419869457,0.00903469533196619
1.29547615305107,"+",-0.165982945668979,"+",NA,"+",-0.0929153152738747,NA,NA,"+",NA,NA,NA,NA,NA,0.285556662850784,11,-144.190081163548,314.046828993763,1.71877630318039,0.00896529623815566
1.1092530334943,"+",-0.125988956072409,"+",0.0751121379422831,NA,NA,"+",NA,NA,0.0943248935953565,NA,NA,NA,NA,0.262312979069294,10,-145.534751220769,314.083201071676,1.75514838109291,0.00880372662019324
1.20384073608591,"+",-0.152657090893061,"+",NA,NA,-0.133761243716193,"+",NA,"+",NA,NA,NA,NA,NA,0.284879107444424,11,-144.229893756235,314.126454179136,1.79840148855277,0.00861537637775341
1.13871625479305,"+",-0.103193163469807,"+",-0.0984482135069879,NA,NA,"+",-0.128235597963756,NA,0.0989146294245961,NA,"+",NA,NA,0.33043565571903,13,-141.465271458466,314.130542916933,1.80249022634956,0.00859778136171865
1.29369825583825,"+",-0.108200322824065,"+",NA,"+",NA,"+",-0.14320008034657,NA,0.127252494919267,NA,NA,NA,NA,0.284548018935103,11,-144.24933452419,314.165335715047,1.83728302446383,0.0084495044081324
1.12968307182445,"+",-0.134284379659015,"+",-0.097926176784765,NA,-0.0706590249015412,"+",NA,NA,0.108192691773624,NA,"+",NA,NA,0.330122106443859,13,-141.484934971271,314.169869942543,1.84181725195981,0.00843037011852608
1.11748371527384,"+",-0.153472568250903,"+",NA,"+",NA,NA,NA,NA,0.100246534305224,NA,NA,NA,NA,0.236893791171682,9,-146.957609447088,314.347651326608,2.01959863602463,0.0077133298688606
1.11371765225121,"+",-0.157503636382604,"+",NA,NA,-0.134541171094681,NA,NA,"+",0.0469364906648122,NA,NA,NA,NA,0.282882103880427,11,-144.347016968796,314.360700604258,2.03264791367519,0.00766316700257494
1.39537780282269,"+",NA,"+",-0.113426496313032,"+",NA,"+",-0.236406999474171,NA,0.128831814680521,NA,"+",NA,NA,0.328468296873446,13,-141.588497726932,314.376995453863,2.04894276328037,0.00760098557887792
1.10990395937671,"+",-0.114443172939236,"+",-0.0933202202492732,NA,NA,"+",-0.123795518599691,NA,NA,NA,"+",NA,NA,0.305571115672731,12,-142.996696042612,314.387758282406,2.05970559182327,0.00756019139026965
1.01576729882482,"+",-0.150761405109254,"+",-0.0684945041084464,NA,NA,NA,NA,NA,0.072633295586913,NA,"+",NA,NA,0.282584329809632,11,-144.364453313886,314.395573294439,2.06752060385611,0.00753070753860554
1.0219938189012,"+",-0.151404108017929,"+",0.0724551546932953,NA,-0.0696993333010655,NA,NA,NA,0.0873890708228791,NA,NA,NA,NA,0.259546166688474,10,-145.691984214335,314.397667058807,2.06961436822439,0.00752282790029553
1.20339752283666,"+",-0.147075290044033,"+",0.0765081725544349,NA,-0.126385489235147,"+",NA,"+",NA,NA,NA,NA,NA,0.304537416322109,12,-143.059169094257,314.512704385697,2.18465169511347,0.00710233394302612
1.10723459314933,"+",-0.136557825060807,"+",0.0716337841898462,NA,-0.0678775606585582,"+",NA,NA,0.105691127185821,NA,NA,NA,NA,0.280533251214185,11,-144.484359241304,314.635385149276,2.30733245869254,0.00667976677227932
1.19317688465106,"+",-0.138978728257061,"+",NA,"+",NA,"+",NA,NA,0.117334021175785,NA,NA,NA,NA,0.257140500153836,10,-145.828217174402,314.670132978942,2.34208028835872,0.00656471541356122
1.12587401099367,"+",-0.118046519690026,"+",NA,NA,-0.0948969406099944,"+",-0.0947818201809949,NA,0.124526340227671,NA,NA,NA,NA,0.280043403652274,11,-144.512945130875,314.692556928416,2.36450423783327,0.00649152307226699
1.07506736597523,"+",-0.139734637623631,"+",0.0846541950644197,NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,0.233663917894378,9,-147.135000748624,314.70243392968,2.37438123909698,0.00645954371151435
1.12649497355097,"+",-0.10931122929675,"+",0.0832322969965451,NA,-0.0951633399163028,"+",-0.110418944080074,NA,0.109464767148199,NA,NA,NA,NA,0.302571696582811,12,-143.177714322207,314.749794841597,2.42174215101443,0.00630837569893799
1.2795725605137,"+",-0.10164178710809,"+",0.0730878571976251,"+",NA,"+",-0.147594805626793,NA,0.112778441494169,NA,NA,NA,NA,0.30156907108998,12,-143.238050317364,314.870466831912,2.542414141329,0.00593900868435446
1.4789407508544,"+",-0.146779792773463,"+",-0.117097889434994,"+",NA,"+",NA,"+",NA,NA,"+",NA,NA,0.347300558979542,14,-140.393829650131,314.874615822,2.5465631314172,0.00592670101078969
1.26375274175907,"+",-0.160765504310288,"+",0.0688695311829301,"+",-0.0956208530916555,NA,NA,"+",NA,NA,NA,NA,NA,0.301377834093754,12,-143.249548740612,314.893463678407,2.56541098782384,0.00587111055761824
1.14912923295336,"+",-0.15815899608439,"+",NA,NA,-0.13889610970044,NA,-0.0112757611586515,"+",NA,NA,NA,NA,NA,0.277803723661331,11,-144.643398201456,314.953463069578,2.62541037899467,0.00569759475204078
1.01980708818014,"+",-0.153680725057081,"+",0.0835449507041008,NA,-0.0542735297579222,NA,NA,NA,NA,NA,NA,NA,NA,0.231237432897589,9,-147.267777172855,314.967986778142,2.6399340875592,0.00565636951618579
1.06917835763463,"+",-0.14858952828619,"+",NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,0.207624854407638,8,-148.538394013018,314.996788026037,2.66873533545368,0.00557549796385981
1.43593872596996,"+",-0.156697413474616,"+",NA,"+",NA,"+",NA,"+",NA,NA,NA,NA,NA,0.276854784398863,11,-144.69854842716,315.063763520987,2.73571083040383,0.00539187875223538
1.11826478094593,"+",-0.113173293305917,"+",NA,NA,NA,"+",-0.0934968159092937,NA,0.107530644099128,NA,NA,NA,NA,0.253452564563988,10,-146.036210849821,315.086120329778,2.75806763919513,0.00533194177510097
1.01772531849223,"+",-0.156357161454977,"+",-0.0712276636737004,NA,-0.0696358207450717,NA,NA,NA,0.0875353107081389,NA,"+",NA,NA,0.299474401096,12,-143.363824355004,315.122014907191,2.79396221660841,0.00523710148542483
1.21479026411868,"+",-0.130133547377213,"+",-0.104000972571707,"+",NA,"+",NA,NA,0.106002247715058,NA,"+",NA,NA,0.322450924032853,13,-141.963169635741,315.126339271482,2.79828658089929,0.00522579015108849
1.28256264008512,"+",-0.165250102106832,"+",-0.0949846212519824,"+",-0.0940249482254187,NA,NA,"+",NA,NA,"+",NA,NA,0.345172069229606,14,-140.530571182878,315.148098887494,2.82004619691116,0.00516924272791217
1.00450263525185,"+",-0.14419647251456,"+",-0.0694580720487724,NA,NA,NA,-0.0700484676111345,NA,NA,NA,"+",NA,NA,0.275977849076036,11,-144.749449641379,315.165565949424,2.83751325884106,0.00512429355468692
1.01166512430843,"+",-0.1396769067232,"+",0.0843403569506758,NA,NA,NA,-0.057259978658665,NA,NA,NA,NA,NA,NA,0.229270977403032,9,-147.375073862545,315.182580157522,2.85452746693869,0.00508088555620936
1.10473563430831,"+",-0.148680561648076,"+",0.0664863808903391,"+",NA,NA,NA,NA,0.086276977276727,NA,NA,NA,NA,0.252585516490846,10,-146.084961788782,315.183622207701,2.85556951711794,0.00507823897688405
1.01811186596396,"+",-0.160830839579465,"+",NA,NA,-0.0553563087430417,NA,NA,NA,NA,NA,NA,NA,NA,0.205581987397905,8,-148.646537234293,315.213074468586,2.88502177800342,0.00500400410503053
1.12409796436627,"+",-0.154499236086691,"+",0.0691614609116259,NA,-0.129450760367325,NA,NA,"+",0.0305501453060491,NA,NA,NA,NA,0.298571280379702,12,-143.417936068674,315.230238334532,2.90218564394888,0.0049612438225842
1.41949764449827,"+",-0.155761491525367,"+",NA,"+",NA,NA,-0.0519948836327223,"+",NA,NA,NA,NA,NA,0.275282673270389,11,-144.789756938209,315.246180543086,2.91812785250255,0.00492185442777999
1.09475657293284,"+",-0.160066406134926,"+",NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.205268144294477,8,-148.663126494725,315.24625298945,2.91820029886725,0.00492167614577855
1.27033402593165,"+",-0.0979707018379124,"+",-0.106628665894508,"+",-0.0693965261498415,"+",-0.166261762305351,NA,0.121707495597104,NA,"+",NA,NA,0.367082773820192,15,-139.101191451609,315.26120643263,2.93315374204673,0.00488501536548759
1.01526808675892,"+",-0.157868975555997,"+",-0.0714475095435674,NA,-0.0562800384279866,NA,NA,NA,NA,NA,"+",NA,NA,0.275106273881962,11,-144.799978679187,315.266624025042,2.93857133445852,0.00487180076031627
1.19174307232232,"+",NA,"+",-0.0957491475705041,NA,-0.107378034072422,"+",-0.19832205658899,NA,0.12523165408145,NA,"+",NA,NA,0.321232114250422,13,-142.03865350284,315.27730700568,2.94925431509665,0.00484584746007682
1.08216492455269,"+",-0.152833481076029,"+",0.0788894351882172,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22834150904941,9,-147.425693664942,315.283819762316,2.95576707173251,0.00483009321229279
1.13926495377917,"+",-0.150505065281556,"+",0.0771889926381874,NA,-0.134734313468618,NA,-0.0267784638444303,"+",NA,NA,NA,NA,NA,0.297705961161596,12,-143.469717535556,315.333801268295,3.00574857771204,0.00471088134733655
1.26585131440359,"+",-0.107575895529829,"+",-0.100993283414422,"+",NA,"+",-0.159430692600104,NA,NA,NA,"+",NA,NA,0.320375473948188,13,-142.091626262627,315.383252525253,3.05519983467036,0.0045958300643604
1.13508633335506,"+",-0.151537081164511,"+",-0.0668151244105883,NA,NA,NA,NA,"+",NA,NA,"+",NA,NA,0.297280214157537,12,-143.49517119929,315.384708595764,3.05665590518066,0.0045924853557275
1.11904754130372,"+",-0.106708278320984,"+",0.0789602119165782,NA,NA,"+",-0.094134586826606,NA,0.0928411377972685,NA,NA,NA,NA,0.273838561184923,11,-144.873365202469,315.413397071604,3.0853443810214,0.00452707987052638
1.14848374934221,"+",-0.155914575006557,"+",-0.0782059799265869,NA,-0.134202053253762,NA,-0.0363643320919577,"+",NA,NA,"+",NA,NA,0.342966210541576,14,-140.671814959997,315.430586441733,3.10253375114962,0.0044883377713349
1.01080401498406,"+",-0.148347889865661,"+",NA,NA,NA,NA,-0.0505198652029569,NA,NA,NA,NA,NA,NA,0.203353140557621,8,-148.764208902081,315.448417804162,3.12036511357911,0.00444849904118653
1.18484175568349,"+",NA,"+",-0.102557668566285,NA,NA,"+",-0.206269099161985,NA,0.118444343770707,NA,"+",NA,NA,0.296515186476055,12,-143.540870332698,315.476106862579,3.14805417199551,0.0043873360297554
1.1423248216217,"+",-0.161870451110048,"+",-0.0846122907944667,NA,-0.128735630701888,NA,NA,"+",0.0229824605265889,NA,"+",NA,NA,0.34203639764689,14,-140.731209979832,315.549376481403,3.22132379082041,0.00422951532682105
1.08345440944658,"+",-0.156733294838983,"+",-0.0774304972498064,"+",NA,NA,NA,NA,NA,NA,"+",NA,NA,0.27253763659104,11,-144.948541252073,315.563749170812,3.2356964802288,0.00419922952419824
1.1642766127154,"+",-0.144881608781278,"+",NA,NA,-0.128294641634503,"+",NA,"+",0.0709779901174971,NA,NA,NA,NA,0.29559357005076,12,-143.595857385953,315.586080969089,3.25802827850623,0.00415260215357634
1.11641904747943,"+",-0.113414549206336,"+",-0.0905915043050018,NA,-0.0872131909602032,"+",-0.137844554891469,NA,NA,NA,"+",NA,NA,0.318685660616029,13,-142.195925137802,315.591850275603,3.26379758502009,0.00414064059701542
1.17880622410392,"+",-0.133752546394544,"+",0.0665344685408228,"+",NA,"+",NA,NA,0.103401580467308,NA,NA,NA,NA,0.272256711156316,11,-144.964757335877,315.596181338421,3.26812864783818,0.004131683611566
