"Term","VIF","VIF_CI_low","VIF_CI_high","SE_factor","Tolerance","Tolerance_CI_low","Tolerance_CI_high"
"Gear",1.24878613994034,1.09633818704751,1.64247154034455,1.11749100217422,0.800777625581093,0.608838555455412,0.912127308721272
"logEffort",3.73614412378836,2.88462623478454,4.9723975650787,1.93291079043715,0.267655627531313,0.201110226387172,0.346665362722353
"Occlusion",6.02348685140302,4.55207616418059,8.10441414536517,2.45427929368339,0.166016798022407,0.123389548221927,0.219679979844979
"SecchiDepth",5.95213488241969,4.50004107327504,8.00667203048869,2.43969975251458,0.168006945365706,0.124895836396457,0.222220193930857
"DaylightPercent",4.73230391855197,3.61059925251738,6.33597507430745,2.17538592404933,0.211313562529177,0.157828903723916,0.276962335075758
"Steepness",5.93775760423582,4.48955619524973,7.98697736731642,2.43675144490279,0.16841374583675,0.125203810404185,0.222739165411956
"MudDominant",3.89393239609311,2.99957932371522,5.18830331651797,1.97330494249954,0.256809800037445,0.192741237162505,0.333380081698063
"Season",1.56421458562107,1.31133672583607,2.02248810439145,1.25068564620414,0.639298475536813,0.494440485374767,0.762580640271805
"Temperature",2.48117285825026,1.97161902325929,3.25795603369098,1.57517391365216,0.403035200338765,0.306940913155015,0.507197378501095
"Gear:logEffort",7.48315061825093,5.61669203825582,10.1041900977235,2.73553479565714,0.133633552365104,0.0989688426611555,0.178040738781636
"Gear:Occlusion",5.19955841924375,3.95125910994296,6.97585310528086,2.28025402515679,0.192324024343868,0.143351642431086,0.253083883434421
"Gear:SecchiDepth",8.35889635532654,6.2554986266533,11.3041327598868,2.89117560091506,0.119633018222887,0.088463221482018,0.159859358890948
"Gear:DaylightPercent",5.12837754931556,3.89935968742068,6.87836730421502,2.26459213751959,0.194993443907705,0.145383338192365,0.256452361454625
