"Term","VIF","VIF_CI_low","VIF_CI_high","SE_factor","Tolerance","Tolerance_CI_low","Tolerance_CI_high"
"Gear",1.15915646382299,1.04404079330323,1.57516629644315,1.07664128836999,0.862696306503715,0.634853603875398,0.957816980346245
"logEffort",3.05291085541656,2.39583084672648,4.01930781238352,1.74725809639462,0.327556239719798,0.248799058613772,0.417391737553735
"Occlusion",5.5738155661101,4.24210116644017,7.45254042327153,2.36089295947743,0.179410313839625,0.134182432191494,0.235732237578663
"SecchiDepth",5.15618699006966,3.93604760259176,6.88338223166955,2.2707238912007,0.193941763928637,0.145277418330647,0.254061967985736
"DaylightPercent",3.8183995555956,2.95603852411163,5.06095072109538,1.95407255637952,0.26188982725356,0.197591333152432,0.338290584457294
"Steepness",6.67653263875516,5.05034536500688,8.95562350737908,2.58389872842477,0.149778343656304,0.111661683765071,0.198006260508213
"MudDominant",4.37488586594118,3.36360529264202,5.81884798768498,2.09162278289877,0.228577391649249,0.171855322929281,0.297300043553721
"Season",1.52607148462005,1.287258527461,1.96342207619203,1.23534265878745,0.655277298657457,0.509314839700414,0.776844727509718
"Temperature",2.54131249818276,2.02202609704874,3.32444574939368,1.59414945917337,0.393497454844723,0.300802020963158,0.494553458760772
"Gear:logEffort",6.24980781818314,4.73755630885607,8.37393094588373,2.49996156334115,0.160004920005797,0.119418228602847,0.211079285354491
"Gear:Occlusion",4.52211073627825,3.47145777214522,6.0194116923304,2.12652550802436,0.221135672768379,0.166129191873376,0.288063420509949
"Gear:SecchiDepth",6.78078590729812,5.12676570928425,9.09774241140829,2.60399422182503,0.14747553066433,0.109917378925351,0.195054749271858
"Gear:DaylightPercent",4.09259646813868,3.15683639800273,5.43434324624734,2.02301667520035,0.244343660017573,0.184014876257687,0.316772830113299
