"cond((Int))","disp((Int))","cond(DaylightPercent)","cond(Gear)","cond(logEffort)","cond(MudDominant)","cond(Occlusion)","cond(Season)","cond(SecchiDepth)","cond(Steepness)","cond(Temperature)","cond(DaylightPercent:Gear)","cond(Gear:logEffort)","cond(Gear:Occlusion)","cond(Gear:SecchiDepth)","R2.LR","df","logLik","AICc","delta","weight"
0.864374248744978,"+",-0.122295201066689,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.138890411827658,7,-130.840354409708,277.154393029943,0,0.0212877371437794
0.866412517982027,"+",-0.127634062113424,"+",NA,NA,-0.0892788369899271,NA,NA,NA,0.0821341911037446,NA,NA,NA,NA,0.186101577484088,9,-128.472133745794,277.37669992402,0.222306894076723,0.0190482977178464
0.970835946052447,"+",-0.131882991446436,"+",NA,NA,-0.14300439794414,NA,NA,"+",NA,NA,NA,NA,NA,0.209402182941337,10,-127.252194168451,277.518086967038,0.363693937095377,0.0177482020427982
0.866600799538884,"+",-0.114679355377287,"+",0.0759628299671328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.159748769188101,8,-129.810478919074,277.540957838148,0.386564808204525,0.0175463996702641
0.865975981648853,"+",-0.128742311752867,"+",NA,NA,-0.0750543283378159,NA,NA,NA,NA,NA,NA,NA,NA,0.158166600085244,8,-129.889489357316,277.698978714632,0.544585684688855,0.0162134045852674
0.860097291866584,"+",-0.125851638503473,"+",-0.0588129275646631,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,0.206952787535455,10,-127.382115567707,277.77792976555,0.623536735607331,0.0155858401313226
0.866940161609946,"+",-0.123207340802111,"+",0.0781550427348836,NA,-0.0739293596196139,NA,NA,NA,NA,NA,NA,NA,NA,0.181058451865696,9,-128.731573682698,277.895579797829,0.741186767885608,0.0146954482360983
0.866533616763714,"+",-0.115324671798689,"+",NA,NA,NA,NA,NA,NA,0.065833363558457,NA,NA,NA,NA,0.154890192910391,8,-130.052635661,278.025271322,0.870878292057171,0.0137727505182937
0.867205763958062,"+",-0.123729774023811,"+",0.0635859253095932,NA,-0.0866136877423171,NA,NA,NA,0.0699313197009399,NA,NA,NA,NA,0.200190807169293,10,-127.738713790273,278.491126210683,1.33673318074023,0.0109109251609662
0.949322399999077,"+",-0.12648411392513,"+",NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14968913586808,8,-130.310324014973,278.540648029946,1.38625500000262,0.0106440780512306
0.968431419349675,"+",-0.123419992088307,"+",NA,"+",NA,NA,NA,NA,0.0783436178503627,NA,NA,NA,NA,0.173879488969596,9,-129.098147519846,278.628727472125,1.47433444218188,0.0101854880280589
0.934892324289217,"+",-0.116965672322065,"+",NA,NA,-0.088304491742848,"+",NA,NA,0.096068361154507,NA,NA,NA,NA,0.198865893741228,10,-127.808230776558,278.630160183253,1.47576715330956,0.0101781942098352
0.967691875565237,"+",-0.12780503723089,"+",0.0643956948168256,NA,-0.136877625767074,NA,NA,"+",NA,NA,NA,NA,NA,0.223451093160667,11,-126.499144020039,278.664954706744,1.51056167680116,0.010002652897636
0.862392882776364,"+",-0.129205244536142,"+",-0.0572468496167122,NA,-0.0693848615642796,NA,NA,NA,NA,NA,"+",NA,NA,0.222165644550069,11,-126.568610612047,278.80388789076,1.64949486081736,0.00933138785401066
0.868321654763592,"+",-0.110386735580543,"+",0.0677296344973841,NA,NA,NA,NA,NA,0.0542968671505098,NA,NA,NA,NA,0.171086382318615,9,-129.239909660794,278.91225175402,1.75785872407664,0.00883924816599243
0.908313042200412,"+",-0.115668621880097,"+",NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,0.144783897386748,8,-130.551915720401,279.023831440802,1.86943841085895,0.00835961171585119
0.859695045777806,"+",-0.114717360346135,"+",NA,NA,-0.105406328483776,NA,-0.0629400100220283,NA,0.0825453477097195,NA,NA,NA,NA,0.194511265981772,10,-128.035906879729,279.085512389596,1.93111935965294,0.0081057323276217
0.861914789410751,"+",-0.123328205580925,"+",-0.0610127220063819,NA,NA,NA,NA,NA,0.0618973334587903,NA,"+",NA,NA,0.219521718704238,11,-126.711130141774,279.088926950214,1.93453392027129,0.00809190537702612
1.2035562118346,"+",-0.134497698077625,"+",NA,"+",NA,NA,NA,"+",NA,NA,NA,NA,NA,0.194365077668317,10,-128.043528776606,279.100756183349,1.94636315340585,0.00804418611909131
0.936998718889628,"+",-0.103531525865951,"+",NA,NA,NA,"+",NA,NA,0.081914146516689,NA,NA,NA,NA,0.168489264592437,9,-129.371296596007,279.175025624447,2.02063259450443,0.00775094590924246
0.938285030174976,"+",-0.119168695162991,"+",0.0719796912370894,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.168418068387294,9,-129.374892596011,279.182217624454,2.02782459451055,0.00772312356229039
0.858722622022342,"+",-0.114708775284967,"+",NA,NA,NA,NA,-0.045024866039235,NA,NA,NA,NA,NA,NA,0.142590158003795,8,-130.659513184711,279.239026369422,2.08463333947884,0.00750683933423904
0.858668966653695,"+",-0.108327833880658,"+",0.0859230192609442,NA,-0.0931940740820398,NA,-0.0752676762516871,NA,NA,NA,NA,NA,NA,0.192894607988381,10,-128.120118594722,279.253935819581,2.09954278963789,0.00745108598194078
0.953634980244054,"+",-0.092524792356768,"+",NA,NA,-0.114429396624467,"+",-0.0995604538630446,NA,0.102283467274216,NA,NA,NA,NA,0.217533339735247,11,-126.817995021696,279.302656710058,2.14826368011501,0.00727176722004234
0.849766133729607,"+",-0.112898204115581,"+",-0.0553383440329888,NA,NA,NA,-0.0776969955753646,NA,NA,NA,"+",NA,NA,0.217029292005322,11,-126.845041782962,279.356750232591,2.20235720264799,0.00707772539823465
0.862083884094434,"+",-0.132029572771407,"+",-0.069049069378504,NA,-0.0803675839317616,NA,NA,NA,0.0743195855518884,NA,"+",NA,NA,0.241969194167592,12,-125.485448881184,279.365263959551,2.21087092960806,0.00704766052389813
0.913944107289782,"+",-0.10694607274162,"+",0.0782076705217,NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,0.166582278983215,9,-129.467509055232,279.367450542896,2.21305751295279,0.00703995958579054
0.858584509627479,"+",-0.117256794983426,"+",NA,NA,-0.0913592801283306,NA,-0.0631980701750633,NA,NA,NA,NA,NA,NA,0.166509188560962,9,-129.471192278008,279.374816988449,2.22042395850582,0.00701407754022819
0.920717003251052,"+",-0.114413499311255,"+",-0.0706654726406913,NA,NA,"+",NA,NA,NA,NA,"+",NA,NA,0.216407795623263,11,-126.878366776436,279.42340021954,2.26900718959661,0.00684574705229023
0.860312861420732,"+",-0.106224655982776,"+",0.0781163008718279,NA,NA,NA,-0.0494907017375829,NA,NA,NA,NA,NA,NA,0.164274636983352,9,-129.583641730342,279.599715893117,2.44532286317406,0.00626807791106176
0.908643741789651,"+",-0.122567294439554,"+",NA,NA,-0.07342158330516,"+",NA,NA,NA,NA,NA,NA,NA,0.163636326861444,9,-129.615708236183,279.663848904799,2.50945587485643,0.00607027099194521
1.00986540967583,"+",-0.126206708050795,"+",NA,NA,-0.140575250415025,"+",NA,"+",NA,NA,NA,NA,NA,0.213600666349411,11,-127.028558102038,279.723782870743,2.5693898408,0.00589106187370744
1.07572817556446,"+",-0.135998225373488,"+",NA,"+",-0.109762117189762,NA,NA,"+",NA,NA,NA,NA,NA,0.213528582943895,11,-127.032407754697,279.731482176061,2.57708914611788,0.00586842692799462
0.851369459021351,"+",-0.112141475083949,"+",-0.048473379229412,NA,-0.0890384176520456,NA,-0.0946024601894251,NA,NA,NA,"+",NA,NA,0.238573841910065,12,-125.673154141105,279.740674479393,2.58628144944993,0.0058415166370543
0.907130932977581,"+",-0.129105120380213,"+",NA,"+",-0.0735093477175257,NA,NA,NA,0.0843574087391764,NA,NA,NA,NA,0.188158320067206,10,-128.365864318784,279.745427267706,2.59103423776264,0.00582765137224592
0.9880282917844,"+",-0.111741937716723,"+",NA,"+",NA,NA,-0.0871092600110351,NA,NA,NA,NA,NA,NA,0.162507726875826,9,-129.672345375938,279.777123184309,2.62273015436631,0.00573602297556327
0.938398667933287,"+",-0.12934462700825,"+",NA,NA,-0.140919206963975,NA,NA,"+",0.0388553870698148,NA,NA,NA,NA,0.212891884184031,11,-127.066395676902,279.799458020472,2.64506499052857,0.00567232275438277
1.00941137575786,"+",-0.106919293329374,"+",NA,"+",NA,NA,-0.0900016226398237,NA,0.0812928537696579,NA,NA,NA,NA,0.187526341189463,10,-128.398546537035,279.810791704208,2.65639867426455,0.00564026950443625
0.984695051701546,"+",NA,"+",NA,NA,-0.113504995346628,"+",-0.139850998954461,NA,0.112897735732839,NA,NA,NA,NA,0.18722617217202,10,-128.414060603637,279.841819837411,2.68742680746777,0.00555344125880968
0.933540166233606,"+",-0.112940598883685,"+",0.0626119084641841,NA,-0.0854955679443295,"+",NA,NA,0.0838536645255971,NA,NA,NA,NA,0.212193425331723,11,-127.103648835943,279.873964338553,2.71957130861028,0.00546489840682095
0.910745514958627,"+",-0.116384212390416,"+",0.0792254821087131,NA,-0.0718931577980937,"+",NA,NA,NA,NA,NA,NA,NA,0.18684976339694,10,-128.433506983922,279.880712597981,2.72631956803798,0.00544649020401975
1.16895787216704,"+",NA,"+",NA,"+",NA,"+",-0.186916746150098,NA,0.115446301626174,NA,NA,NA,NA,0.186791457181818,10,-128.436518448633,279.886735527404,2.73234249746076,0.00543011296308796
0.859249542736483,"+",-0.108216803007754,"+",0.0712643067452219,NA,-0.105480100531462,NA,-0.0750179456536662,NA,0.0690436768856473,NA,NA,NA,NA,0.211575151558478,11,-127.136597677627,279.93986202192,2.78546899197676,0.00528777043935166
0.957474166576992,"+",-0.124917825195446,"+",NA,NA,-0.149268340357062,NA,-0.0334949041218614,"+",NA,NA,NA,NA,NA,0.211491597550706,11,-127.141048428256,279.948763523179,2.7943704932361,0.00526428818732681
1.12215054259615,"+",-0.0834085067789982,"+",NA,"+",NA,"+",-0.133966131349674,NA,0.102291849364624,NA,NA,NA,NA,0.211193028197251,11,-127.156948752566,279.980564171799,2.82617114185609,0.0051812462443495
0.957090290834289,"+",-0.119086427078535,"+",0.057745067082473,"+",NA,NA,NA,NA,0.0661550022797646,NA,NA,NA,NA,0.185408217406874,10,-128.507898314609,280.029495259354,2.87510222941148,0.00505602231938114
1.02714366506778,"+",-0.112908014449855,"+",NA,"+",NA,"+",NA,NA,0.0912367375113684,NA,NA,NA,NA,0.185289735570223,10,-128.514006742641,280.041712115418,2.88731908547504,0.00502523210655496
0.944309009554178,"+",-0.108090784821635,"+",-0.0801114997239588,NA,NA,"+",NA,NA,0.0773650842808578,NA,"+",NA,NA,0.235775244652144,12,-125.827240787841,280.048847772864,2.89445474292131,0.00500733488520005
0.982620533564399,"+",NA,"+",0.0831261097451637,NA,-0.113840204772961,"+",-0.151343197208131,NA,0.0965863410870526,NA,NA,NA,NA,0.210543200586039,11,-127.191534557184,280.049735781034,2.89534275109139,0.00500511210155489
0.914469436430406,"+",-0.126977765235921,"+",-0.0641472335450241,"+",NA,NA,NA,NA,NA,NA,"+",NA,NA,0.210247373892467,11,-127.207269925875,280.081206518416,2.92681348847321,0.00492697121742058
0.894282993242976,"+",-0.129514358122689,"+",NA,"+",-0.063509651531916,NA,NA,NA,NA,NA,NA,NA,NA,0.159159625217746,9,-129.839916990962,280.112266414356,2.95787338441295,0.00485104668870115
0.953995748535603,"+",-0.0847884682957126,"+",0.0740902874846794,NA,-0.114487838525291,"+",-0.113073100831746,NA,0.0888417171694895,NA,NA,NA,NA,0.235091639978404,12,-125.864793304258,280.123952805699,2.96955977575647,0.00482278372710865
0.936312456444719,"+",-0.0997333940905229,"+",0.0670454495269822,NA,NA,"+",NA,NA,0.0691232338547328,NA,NA,NA,NA,0.184193600956781,10,-128.570476770493,280.154652171123,3.00025914117953,0.00474932078592517
0.979340385439858,"+",-0.103245621491285,"+",0.0761828263399219,"+",NA,NA,-0.0939961204005819,NA,NA,NA,NA,NA,NA,0.182941960396232,10,-128.634865353641,280.283429337419,3.12903630747644,0.00445315588398922
0.862030412878079,"+",-0.110007666627277,"+",NA,NA,NA,NA,-0.0338396730382453,NA,0.0633580910441027,NA,NA,NA,NA,0.156776439558606,9,-129.958788801476,280.350010035384,3.19561700544074,0.00430734921358263
0.85206864527642,"+",-0.173788892927109,"+",-0.0622439810408627,NA,NA,NA,NA,NA,NA,"+","+",NA,NA,0.23278248130942,12,-125.991394830777,280.377155858737,3.22276282879409,0.00424928091256801
0.973488380097685,"+",NA,"+",-0.0605353033436298,NA,-0.0975537451479329,"+",-0.168541164160683,NA,NA,NA,"+",NA,NA,0.232632576206614,12,-125.999600325518,280.39356684822,3.23917381827687,0.00421455612226258
0.966789501984588,"+",NA,"+",-0.0695116527937783,NA,NA,"+",-0.162315391012316,NA,NA,NA,"+",NA,NA,0.207275348318373,11,-127.365029184254,280.396725035175,3.2423320052323,0.00420790619598787
0.928194605009765,"+",-0.0918806755064255,"+",0.09094586945056,NA,-0.0981206182636174,"+",-0.104099400229021,NA,NA,NA,NA,NA,NA,0.207019164594309,11,-127.378600073164,280.423866812995,3.26947378305152,0.00415118690455364
0.858755654953375,"+",-0.160587174529467,"+",0.0894223684411707,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,0.181197388780912,10,-128.724447599641,280.462593829419,3.30820079947557,0.00407157859826609
0.924000584736724,"+",-0.118106920363781,"+",-0.0701864852005594,NA,-0.0693711652964386,"+",NA,NA,NA,NA,"+",NA,NA,0.231975325379179,12,-126.035557963267,280.465482123717,3.311089093774,0.00406570288336024
0.876083894869623,"+",-0.123507547114951,"+",0.0773990481425241,"+",-0.0702157327586412,NA,NA,NA,NA,NA,NA,NA,NA,0.181159895813135,10,-128.726370735416,280.46644010097,3.312047071027,0.00406375592424326
1.17771174966629,"+",-0.129794068129553,"+",0.0582267631959893,"+",NA,NA,NA,"+",NA,NA,NA,NA,NA,0.205888641723825,11,-127.438435246924,280.543537160515,3.38914413057188,0.00391008503048989
0.983882944261606,"+",-0.120342584310284,"+",NA,"+",NA,"+",NA,NA,NA,NA,NA,NA,NA,0.15440983048889,9,-130.076501778614,280.585435989661,3.43104295971796,0.00382902310280442
0.856355945282502,"+",-0.170895441884771,"+",NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,0.153979229799647,9,-130.097884034917,280.628200502267,3.47380747232376,0.00374801906026657
0.877941227878928,"+",NA,"+",0.0861216994788934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102156394394116,7,-132.59486737122,280.663418952966,3.50902592302265,0.00368259705396834
0.917987856528875,"+",-0.100855910292492,"+",NA,NA,NA,"+",-0.0740405560566186,NA,NA,NA,NA,NA,NA,0.153264294109668,9,-130.133361436645,280.699155305722,3.54476227577874,0.00361738014900935
0.858222549540863,"+",-0.172279461893317,"+",0.0910453670971728,NA,-0.077134347218796,NA,NA,NA,NA,"+",NA,NA,NA,0.20423949706554,11,-127.525566923608,280.717800513882,3.56340748393887,0.0035838134536875
0.922861418789132,"+",-0.103061974231521,"+",NA,NA,-0.0966900179956648,"+",-0.0908540991016907,NA,NA,NA,NA,NA,NA,0.17863905239463,10,-128.855471380516,280.72464139117,3.57024836122685,0.00357157618001029
0.940812303506902,"+",-0.11818404132536,"+",NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,0.152476120917806,9,-130.172438419581,280.777309271595,3.62291624165215,0.00347875010885383
1.06382078468286,"+",-0.0871494710430822,"+",NA,"+",-0.0836956265957689,"+",-0.139543782815553,NA,0.110303393080613,NA,NA,NA,NA,0.229000658507205,12,-126.197915617072,280.790197431327,3.63580440138355,0.00345640483999419
1.15011561297638,"+",NA,"+",0.0711328378335929,"+",NA,"+",-0.185777491087354,NA,0.098493049479722,NA,NA,NA,NA,0.203546728164136,11,-127.562115151184,280.790896969034,3.63650393909109,0.00345519610863577
0.948750449633653,"+",-0.111716915313577,"+",NA,"+",-0.0776406987820507,NA,-0.0941678786974793,NA,0.0880844077246942,NA,NA,NA,NA,0.203236187485769,11,-127.578487946561,280.823642559788,3.66924952984505,0.00339908548707595
1.10769214970035,"+",NA,"+",NA,"+",-0.0792782426424167,"+",-0.183437787129275,NA,0.121067995967573,NA,NA,NA,NA,0.202731489379626,11,-127.605083795163,280.876834256992,3.72244122704888,0.0033098754902761
1.00905877017016,"+",-0.121340482884032,"+",0.0658137922431287,NA,-0.133889272801614,"+",NA,"+",NA,NA,NA,NA,NA,0.228095070466031,12,-126.247218354527,280.888802906238,3.7344098762951,0.003290127269697
