"Cast Net","(Cast)","Centipede Net ","(Cent)","Seine","(Seine)"
"Alectis ciliaris",2,"Ariopsis guatemalensis",2,"Bollmannia umbrosa",1
"Anchoa nasus",5,"Bathygobius ramosus",5,"Caranx caballus",1
"Cynoscion squamipinnis",1,"Batrachoides waltersi",4,"Chaetodipterus zonatus",1
"Eugerres brevimanus",1,"Cynoponticus coniceps",1,"Citharichthys gilberti",2
"Genyatremus dovii",1,"Cynoscion albus",3,"Ctenogobius sagittula",2
"Gerres simillimus",3,"Gobiomorus maculatus",1,"Gobioides peruanus",3
"Oligoplites altus",3,"Lobotes pacifica",1,"Haemulopsis nitida",1
"Oligoplites saurus",1,"Mugil hospes",1,"Hemicaranx leucurus",1
"Ophioscion imiceps",1,"Myrichthys tigrinus",1,"Hyporhamphus snyderi",3
"Ophioscion strabo",2,"Ophichthus remiger",2,"Lutjanus colorado",2
"Pterygoplichthys pardalis",1,"Ophichthus triserialis",2,"Ophioscion vermicularis",2
"Sphoeroides lobatus",1,"Ophioscion scierus",1,"Paraselene orstedii",1
"Stellifer oscitans",56,"Paralonchurus dumerilii",1,NA,NA
NA,NA,"Poeciliopsis turrubarensis",11,NA,NA
NA,NA,"Pomadasys empherus",12,NA,NA
NA,NA,"Rypticus bicolor",3,NA,NA
NA,NA,"Rypticus nigripinnis",3,NA,NA
NA,NA,"Syacium ovale",5,NA,NA
NA,NA,"Urotrygon munda",2,NA,NA
