"Assemblage","Diversity","Observed","Estimator","s.e.","LCL","UCL"
"All Gears","Species richness",83,107.166666666667,12.6144493836312,83,131.890533143387
"All Gears","Shannon diversity",47.8726781439764,56.5804120791394,3.07642231936576,50.5507351319473,62.6100890263315
"All Gears","Simpson diversity",31.1677160847167,33.2711749647694,1.9306300529505,29.4872095935157,37.055140336023
"Cast Net","Species richness",46,60.9321266968326,14.2280648751677,46,88.8186214218606
"Cast Net","Shannon diversity",31.0475428937496,40.693325094944,3.62647015651543,33.5855741971645,47.8010759927236
"Cast Net","Simpson diversity",20.3620457604307,23.6839142439187,2.89325615836139,18.0132363754816,29.3545921123557
"Cast Net & Centipede Net","Species richness",75,90.6075036075036,11.0974701780692,75,112.358145476027
"Cast Net & Centipede Net","Shannon diversity",45.6399410351943,54.4367104755445,3.58346338147371,47.4132513079379,61.4601696431511
"Cast Net & Centipede Net","Simpson diversity",29.4188861985472,32.0158116041867,2.60884050674298,26.9025781695612,37.1290450388121
"Cast Net & Seine","Species richness",66,93.1290322580645,15.2793605003406,66,123.076028545536
"Cast Net & Seine","Shannon diversity",37.4071850222231,46.1743157358313,3.61714316644523,39.0848454026735,53.2637860689891
"Cast Net & Seine","Simpson diversity",23.8005260850504,25.6531937728519,2.18435111286669,21.3719442620432,29.9344432836606
"Centipede Net","Species richness",54,64.9393939393939,10.0263226268122,54,84.590625185325
"Centipede Net","Shannon diversity",33.1100464426221,39.6432279572646,2.69311296334459,34.3648235428113,44.921632371718
"Centipede Net","Simpson diversity",20.8189158016148,22.6723147881938,2.09567590888473,18.5648654835115,26.7797640928762
"Centipede Net & Seine","Species richness",71,89.1518518518519,11.2664259794611,71,111.233641006082
"Centipede Net & Seine","Shannon diversity",41.3108935404018,48.7065453963401,3.08369269610712,42.6626187725809,54.7504720200993
"Centipede Net & Seine","Simpson diversity",27.260083449235,29.1936346165224,2.0205517571015,25.2334259437043,33.1538432893404
"Seine","Species richness",49,76.8709677419355,19.0480004386324,49,114.204362579158
"Seine","Shannon diversity",28.108168331892,35.8694845645254,2.96747043628018,30.0533493842289,41.6856197448219
"Seine","Simpson diversity",18.609022556391,20.2979738563391,1.92607564522122,16.5229349602058,24.0730127524725
